section,comparison_or_condition,metric,value,notes
broad,curriculum current vs weaker,food_delivered_mean,1.25 vs 0.00,"From 20260401_014801 family_summary.csv"
broad,curriculum current vs weaker,p_value,0.000828,"Welch t-test from 20260401_014801 statistical_tests.csv"
broad,current_mappo vs rule_based,food_delivered_mean,1.25 vs 0.30,"From 20260401_014801 family_summary.csv"
broad,current_mappo vs rule_based,p_value,0.012248,"Welch t-test from 20260401_014801 statistical_tests.csv"
broad,current_mappo vs random,food_delivered_mean,1.25 vs 0.05,"From 20260401_014801 family_summary.csv"
broad,current_mappo vs random,p_value,0.001242,"Welch t-test from 20260401_014801 statistical_tests.csv"
broad,swarm size scaling 1 to 6 agents,food_delivered_mean,0.05 to 1.25,"From 20260401_014801 family_summary.csv"
broad,robustness control vs more_obstacles,food_delivered_mean,1.25 vs 0.65,"From 20260401_014801 family_summary.csv"
broad,robustness control vs failed_agents_2,food_delivered_mean,1.25 vs 0.70,"From 20260401_014801 family_summary.csv"
killer,6 agents matched training,food_delivered_mean,1.32 vs 0.00,"trained_with_pheromone__eval_with_pheromone vs trained_without_pheromone__eval_without_pheromone"
killer,6 agents matched training,paired_t_p_food_delivered,0.006534,"From 20260401_023140 statistical_tests.csv"
killer,6 agents matched training,wilcoxon_p_food_delivered,0.003639,"From 20260401_023140 statistical_tests.csv"
killer,6 agents matched training,late_deliveries_mean,0.90 vs 0.00,"From 20260401_023140 condition_summary.csv"
killer,6 agents matched training,paired_t_p_late_deliveries,0.015349,"From 20260401_023140 statistical_tests.csv"
killer,6 agents eval-time pheromone removal,late_deliveries_mean,0.90 vs 0.42,"trained_with_pheromone eval with vs without pheromone"
killer,6 agents eval-time pheromone removal,paired_t_p_late_deliveries,0.047414,"From 20260401_023140 statistical_tests.csv"
