headline,value
bundle_timestamp,20260405_190356
primary_new_upper_bound_agents,30
agents_30_food_delivered_with_pheromone,2.66
agents_30_food_delivered_without_pheromone_training,0.00
agents_30_food_delivered_paired_t_p,0.0008472283436218253
agents_30_food_delivered_wilcoxon_p,9.958341139522525e-06
agents_30_late_deliveries_with_pheromone,1.12
agents_30_late_deliveries_without_pheromone_training,0.00
agents_30_late_deliveries_paired_t_p,0.01868076905324959
agents_30_late_deliveries_wilcoxon_p,0.011089008722059817
