family,condition,episode,seed,policy_kind,checkpoint_dir,n_agents,width,height,n_obstacles,max_steps,pheromone_enabled,mean_episode_reward,food_picked_up,food_delivered,delivery_conversion,exploration_coverage,pheromone_usage,episode_length,time_to_first_discovery,carrying_stall_fraction,carrying_low_progress_fraction,non_carrying_nest_loiter_fraction,non_carrying_nest_crowding_fraction,non_carrying_explore_active_fraction,non_carrying_force_explore_fraction,non_carrying_random_explore_fraction
curriculum_vs_weaker_training,current_curriculum_final,1,100,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-226.4697265625,1,1,1.0,0.23220338983050848,0.005419922851821563,800,250,0.0175,0.0875,0.135,0.005,4.51625,1.1675,5.82
curriculum_vs_weaker_training,current_curriculum_final,2,101,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-219.62677001953125,1,1,1.0,0.2461864406779661,0.00474338945306954,800,262,0.00875,0.05375,0.07125,0.1,4.525,1.18625,5.88
curriculum_vs_weaker_training,current_curriculum_final,3,102,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-570.5289916992188,1,1,1.0,0.22966101694915253,0.006989193682238691,800,209,0.01375,0.05625,1.07625,0.56125,5.225,2.415,5.89125
curriculum_vs_weaker_training,current_curriculum_final,4,103,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-259.4059143066406,3,2,0.6666666666666666,0.23389830508474577,0.021541007844183085,800,544,0.1275,0.24,0.19125,0.2675,3.65375,1.22,5.62375
curriculum_vs_weaker_training,current_curriculum_final,5,104,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-239.46104431152344,3,3,1.0,0.27161016949152544,0.043607012589945954,800,104,0.2475,0.49625,0.565,0.27,3.7725,1.05,5.24375
curriculum_vs_weaker_training,current_curriculum_final,6,105,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-399.797119140625,0,0,0.0,0.17033898305084746,0.0,800,-1,0.0,0.0,0.0,0.15625,5.17375,2.72,6.0
curriculum_vs_weaker_training,current_curriculum_final,7,106,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-297.9133605957031,0,0,0.0,0.14533898305084747,0.0,800,-1,0.0,0.0,0.0,0.095,5.09125,1.56875,6.0
curriculum_vs_weaker_training,current_curriculum_final,8,107,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-232.79820251464844,3,3,1.0,0.27796610169491526,0.015712990511916963,800,10,0.05125,0.1575,0.43375,0.21,4.3525,1.345,5.715
curriculum_vs_weaker_training,current_curriculum_final,9,108,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-391.8623962402344,0,0,0.0,0.16271186440677965,0.0,800,-1,0.0,0.0,0.0,0.515,4.94125,1.99875,6.0
curriculum_vs_weaker_training,current_curriculum_final,10,109,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-352.8104248046875,3,3,1.0,0.2847457627118644,0.007288516851804161,800,412,0.01375,0.10375,0.51875,0.52875,4.4825,1.7475,5.74875
curriculum_vs_weaker_training,current_curriculum_final,11,110,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-262.8902893066406,5,5,1.0,0.24322033898305084,0.02141997386537696,800,99,0.08875,0.295,0.355,0.3225,4.21125,1.45125,5.425
curriculum_vs_weaker_training,current_curriculum_final,12,111,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-418.1034240722656,0,0,0.0,0.17966101694915254,0.0,800,-1,0.0,0.0,0.0,0.6025,5.08,2.16375,6.0
curriculum_vs_weaker_training,current_curriculum_final,13,112,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-261.7624206542969,1,1,1.0,0.18940677966101696,0.02428510458320185,800,130,0.015,0.09375,0.12125,0.0675,4.65375,1.47625,5.8075
curriculum_vs_weaker_training,current_curriculum_final,14,113,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-334.2650146484375,2,2,1.0,0.18983050847457628,0.007574662424231065,800,171,0.05,0.145,0.15,0.1375,4.95625,2.14875,5.7375
curriculum_vs_weaker_training,current_curriculum_final,15,114,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-322.1201477050781,0,0,0.0,0.17542372881355933,0.0,800,-1,0.0,0.0,0.0,0.07,5.54375,1.79875,6.0
curriculum_vs_weaker_training,current_curriculum_final,16,115,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-276.3763732910156,0,0,0.0,0.19533898305084746,0.0,800,-1,0.0,0.0,0.0225,0.065,4.245,1.23625,6.0
curriculum_vs_weaker_training,current_curriculum_final,17,116,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-251.05523681640625,1,1,1.0,0.27076271186440676,0.01880540622284267,800,18,0.07125,0.2425,0.5625,0.19125,4.53375,1.14875,5.57625
curriculum_vs_weaker_training,current_curriculum_final,18,117,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-307.64276123046875,2,2,1.0,0.19279661016949154,0.013372109193733194,800,49,0.04375,0.14375,0.13375,0.1175,5.23625,1.77875,5.73375
curriculum_vs_weaker_training,current_curriculum_final,19,118,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-340.2075500488281,0,0,0.0,0.13347457627118645,0.0,800,-1,0.0,0.0,0.0,0.0925,5.39875,1.86,6.0
curriculum_vs_weaker_training,current_curriculum_final,20,119,mappo_gru,checkpoints/mappo_g/stage3b_full_swarm_final,6,1400,950,18,800,True,-353.2025146484375,0,0,0.0,0.21652542372881356,0.0,800,-1,0.0,0.0,0.095,0.03,4.945,1.72375,6.0
