condition,n_agents,n,food_picked_up_mean,food_picked_up_std,food_picked_up_ci95,food_delivered_mean,food_delivered_std,food_delivered_ci95,delivery_conversion_mean,delivery_conversion_std,delivery_conversion_ci95,early_deliveries_mean,early_deliveries_std,early_deliveries_ci95,late_deliveries_mean,late_deliveries_std,late_deliveries_ci95,late_delivery_fraction_mean,late_delivery_fraction_std,late_delivery_fraction_ci95,post_discovery_deliveries_mean,post_discovery_deliveries_std,post_discovery_deliveries_ci95,time_to_first_discovery_mean,time_to_first_discovery_std,time_to_first_discovery_ci95,time_to_first_delivery_mean,time_to_first_delivery_std,time_to_first_delivery_ci95,pickup_to_delivery_latency_mean,pickup_to_delivery_latency_std,pickup_to_delivery_latency_ci95,exploration_coverage_mean,exploration_coverage_std,exploration_coverage_ci95,pheromone_usage_mean,pheromone_usage_std,pheromone_usage_ci95
trained_with_pheromone__eval_with_pheromone,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.03785425101214575,0.02634108096387886,0.023088975473335056,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.03785425101214575,0.02634108096387886,0.023088975473335056,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0018218623481781374,0.001319676600243451,0.0011567475418923874,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.09129554655870445,0.04527245455793627,0.03968305607272775,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.09129554655870445,0.04527245455793627,0.03968305607272775,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.005668016194331984,0.00169364377840906,0.0014845442263313614,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.15627530364372472,0.030954124325874906,0.027132486261241366,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.15627530364372472,0.030954124325874906,0.027132486261241366,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.01174089068825911,0.0016936437784090598,0.0014845442263313612,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.22489878542510122,0.021689223054216812,0.019011442234326683,0.0,0.0,0.0
