condition,n_agents,n,food_picked_up_mean,food_picked_up_std,food_picked_up_ci95,food_delivered_mean,food_delivered_std,food_delivered_ci95,delivery_conversion_mean,delivery_conversion_std,delivery_conversion_ci95,early_deliveries_mean,early_deliveries_std,early_deliveries_ci95,late_deliveries_mean,late_deliveries_std,late_deliveries_ci95,late_delivery_fraction_mean,late_delivery_fraction_std,late_delivery_fraction_ci95,post_discovery_deliveries_mean,post_discovery_deliveries_std,post_discovery_deliveries_ci95,time_to_first_discovery_mean,time_to_first_discovery_std,time_to_first_discovery_ci95,time_to_first_delivery_mean,time_to_first_delivery_std,time_to_first_delivery_ci95,pickup_to_delivery_latency_mean,pickup_to_delivery_latency_std,pickup_to_delivery_latency_ci95,exploration_coverage_mean,exploration_coverage_std,exploration_coverage_ci95,pheromone_usage_mean,pheromone_usage_std,pheromone_usage_ci95
trained_with_pheromone__eval_with_pheromone,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.08129237288135593,0.008894879549641684,0.003898352843635618,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.08129237288135593,0.008894879549641684,0.003898352843635618,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0863771186440678,0.007443110668950543,0.0032620870782861596,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.12864406779661017,0.012018245653139414,0.005267228393139373,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.12864406779661017,0.012018245653139414,0.005267228393139373,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.13675847457627116,0.01586453532260343,0.006952939164906413,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.15597457627118644,0.017246444894638505,0.0075585877383047145,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.15597457627118644,0.017246444894638505,0.0075585877383047145,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.1635593220338983,0.01498044507717416,0.006565469531049646,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.1777542372881356,0.014627125879783993,0.006410620565398112,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.1777542372881356,0.014627125879783993,0.006410620565398112,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.18641949152542375,0.017336930557644455,0.007598244828624923,0.0,0.0,0.0
