comparison_label,number_of_agents,episodes,mean_targets_collected,std_targets_collected,mean_coverage_efficiency,std_coverage_efficiency,mean_efficiency,std_efficiency,mean_time_to_first_discovery,std_time_to_first_discovery,mean_total_reward,std_total_reward,mean_pheromone_usage,std_pheromone_usage,mean_collisions,std_collisions,mean_coverage,std_coverage,mean_food_delivered,std_food_delivered,mean_swarm_efficiency,std_swarm_efficiency
random_walk,1,2,0.0,0.0,1.8977732906932943e-05,6.831984137534164e-06,0.0,0.0,nan,nan,-2559.509033203125,220.136474609375,0.0,0.0,1693.5,146.5,0.03795546665787697,0.01366396714001894,0.0,0.0,0.0,0.0
random_walk,2,2,0.0,0.0,2.2014170099282637e-05,1.0374493285780773e-05,0.0,0.0,nan,nan,-5372.3203125,296.7919921875,0.0,0.0,3555.5,197.5,0.04402834177017212,0.020748989656567574,0.0,0.0,0.0,0.0
random_walk,3,2,1.0,0.0,3.011133594554849e-05,1.7712554836180061e-06,0.3333333432674408,0.0,185.5,34.5,-8069.38232421875,221.27587890625,0.0,0.0,5360.5,147.5,0.06022267043590546,0.0035425107926130295,0.0,0.0,0.0,0.0
random_walk,4,2,0.0,0.0,2.7327936550136656e-05,1.2145750588388182e-05,0.0,0.0,nan,nan,-11368.6435546875,442.3056640625,0.0,0.0,7526.5,294.5,0.05465586856007576,0.024291496723890305,0.0,0.0,0.0,0.0
random_walk,5,2,1.0,0.0,4.4787448132410645e-05,3.2894731702981517e-06,0.20000000298023224,0.0,212.5,181.5,-13499.333984375,216.076171875,0.0,0.0,8954.0,144.0,0.0895749032497406,0.006578948348760605,0.0,0.0,0.0,0.0
random_walk,6,2,0.0,0.0,6.275303894653916e-05,3.087044387939386e-05,0.0,0.0,nan,nan,-16014.671875,1078.08837890625,0.0,0.0,10598.0,718.0,0.12550607323646545,0.06174089014530182,0.0,0.0,0.0,0.0
random_walk,7,2,0.5,0.5,8.957489626482129e-05,7.085018296493217e-06,0.0714285746216774,0.0714285746216774,912.0,0.0,-17948.4765625,475.94921875,0.0,0.0,11885.0,327.0,0.1791498064994812,0.014170043170452118,0.0,0.0,0.0,0.0
random_walk,8,2,1.5,0.5,0.00010070850839838386,1.5182195056695491e-06,0.1875,0.0625,430.0,248.0,-20067.46484375,514.32421875,0.0,0.0,13304.5,332.5,0.2014169991016388,0.0030364394187927246,0.0,0.0,0.0,0.0
random_walk,9,2,0.0,0.0,0.00011639675358310342,4.7064775571925566e-05,0.0,0.0,nan,nan,-22496.689453125,1992.333984375,0.0,0.0,14881.0,1327.0,0.23279350996017456,0.09412956237792969,0.0,0.0,0.0,0.0
random_walk,10,2,1.5,0.5,0.00015055667608976364,8.856273780111223e-06,0.15000000596046448,0.05000000074505806,209.5,190.5,-24410.9296875,652.9716796875,0.0,0.0,16175.0,425.0,0.3011133670806885,0.0177125483751297,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,1,2,0.0,0.0,3.542510239640251e-05,3.4919030440505594e-05,0.0,0.0,nan,nan,-1511.67041015625,1494.2635498046875,0.7340384125709534,0.25946158170700073,994.0,994.0,0.0708502009510994,0.06983805447816849,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,2,2,0.0,0.0,2.2014170099282637e-05,1.2651817087316886e-06,0.0,0.0,nan,nan,-5214.97998046875,235.47509765625,0.6884775161743164,0.1891537308692932,3447.0,158.0,0.04402834177017212,0.0025303643196821213,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,3,2,0.5,0.5,4.757085116580129e-05,1.5182175729933078e-06,0.1666666716337204,0.1666666716337204,615.0,0.0,-2577.229736328125,1684.2452392578125,0.4443656802177429,0.029155537486076355,1686.5,1112.5,0.09514170140028,0.0030364394187927246,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,4,2,0.0,0.0,3.84615377697628e-05,1.0121457307832316e-05,0.0,0.0,nan,nan,-5555.630859375,172.333984375,0.47264158725738525,0.09365934133529663,3647.5,117.5,0.07692307978868484,0.02024291642010212,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,5,2,0.0,0.0,3.593117435229942e-05,8.097165846265852e-06,0.0,0.0,nan,nan,-8204.349609375,3130.36376953125,0.5984224081039429,0.06842395663261414,5396.0,2086.0,0.0718623474240303,0.016194334253668785,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,6,2,0.0,0.0,5.339068593457341e-05,1.1892710972460918e-05,0.0,0.0,nan,nan,-12639.529296875,1367.84521484375,0.7071998119354248,0.07165732979774475,8335.5,910.5,0.10678137838840485,0.02378542721271515,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,7,2,0.0,0.0,5.870445602340624e-05,1.315789450018201e-05,0.0,0.0,nan,nan,-12231.4716796875,2100.533203125,0.3990243971347809,0.08834266662597656,8054.5,1397.5,0.11740890145301819,0.02631578966975212,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,8,2,0.5,0.5,5.845141640747897e-05,3.1123483495321125e-05,0.0625,0.0625,379.0,0.0,-19060.38671875,3911.05224609375,0.7135093212127686,0.21179038286209106,12597.5,2590.5,0.11690282821655273,0.062246959656476974,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,9,2,0.5,0.5,9.944332123268396e-05,8.35020182421431e-06,0.0555555559694767,0.0555555559694767,82.0,0.0,-11442.263671875,2775.65576171875,0.42048895359039307,0.060909703373909,7510.0,1840.0,0.19888663291931152,0.01670040935277939,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_with_pheromone,10,2,1.5,0.5,9.817813406698406e-05,3.390687925275415e-05,0.15000000596046448,0.05000000074505806,34.5,27.5,-16661.6328125,8173.14306640625,0.485263466835022,0.10009336471557617,10993.0,5435.0,0.19635628163814545,0.06781376898288727,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,1,2,0.0,0.0,1.315789450018201e-05,5.060728653916158e-06,0.0,0.0,nan,nan,-2058.76123046875,326.45208740234375,0.0,0.0,1359.5,217.5,0.02631578966975212,0.010121457278728485,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,2,2,0.0,0.0,2.1002024368499406e-05,3.7955469451844692e-06,0.0,0.0,nan,nan,-2378.4638671875,446.4407653808594,0.0,0.0,1559.5,297.5,0.0420040488243103,0.007591092959046364,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,3,2,0.0,0.0,2.0495950593613088e-05,1.7712545741233043e-06,0.0,0.0,nan,nan,-3557.9873046875,744.6683349609375,0.0,0.0,2332.5,496.5,0.040991902351379395,0.0035425089299678802,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,4,2,0.0,0.0,2.7580972528085113e-05,1.5941295714583248e-05,0.0,0.0,nan,nan,-7226.466796875,4238.21875,0.0,0.0,4765.0,2825.0,0.05516194552183151,0.03188259154558182,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,5,2,0.0,0.0,4.80769231216982e-05,1.92307688848814e-05,0.0,0.0,nan,nan,-5913.7529296875,2999.36328125,0.0,0.0,3877.0,1999.0,0.09615384787321091,0.03846153989434242,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,6,2,0.0,0.0,4.883603105554357e-05,9.362347554997541e-06,0.0,0.0,nan,nan,-10940.779296875,1960.20703125,0.0,0.0,7215.0,1307.0,0.09767206013202667,0.018724698573350906,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,7,2,0.0,0.0,6.882591696921736e-05,2.530363417463377e-06,0.0,0.0,nan,nan,-11662.86328125,1094.61572265625,0.0,0.0,7683.5,729.5,0.13765183091163635,0.005060724914073944,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,8,2,0.0,0.0,6.123481580289081e-05,2.6821862775250338e-05,0.0,0.0,nan,nan,-14525.5458984375,4585.9248046875,0.0,0.0,9578.5,3056.5,0.12246963381767273,0.05364372953772545,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,9,2,0.0,0.0,9.564777428749949e-05,1.012143911793828e-06,0.0,0.0,nan,nan,-13595.439453125,4160.64892578125,0.0,0.0,8946.5,2773.5,0.1912955492734909,0.0020242929458618164,0.0,0.0,0.0,0.0
trained_with_pheromone__eval_without_pheromone,10,2,0.5,0.5,8.248987433034927e-05,1.26518243632745e-05,0.05000000074505806,0.05000000074505806,190.0,0.0,-14813.744140625,5045.86474609375,0.0,0.0,9755.0,3353.0,0.1649797558784485,0.02530364692211151,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,1,2,0.5,0.5,2.150809632439632e-05,1.1386639016564004e-05,0.5,0.5,413.0,0.0,-1159.0108642578125,1139.3905029296875,0.0,0.0,770.0,770.0,0.04301619529724121,0.02277328073978424,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,2,2,0.5,0.5,2.7834007596538868e-06,1.2651821634790394e-06,0.25,0.25,14.0,0.0,-4501.68798828125,1478.1903076171875,0.0,0.0,2984.5,995.5,0.005566801875829697,0.002530364552512765,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,3,2,0.5,0.5,1.847166095103603e-05,1.4929150893294718e-05,0.1666666716337204,0.1666666716337204,104.0,0.0,-4016.98388671875,973.5462646484375,0.0,0.0,2648.5,659.5,0.03694332018494606,0.02985830046236515,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,4,2,1.0,0.0,5.2378542022779584e-05,3.7955469451844692e-06,0.25,0.0,123.0,36.0,-1446.9542236328125,1399.1871337890625,0.0,0.0,933.0,933.0,0.10475708544254303,0.007591091096401215,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,5,2,0.5,0.5,6.249999569263309e-05,7.338054274441674e-06,0.10000000149011612,0.10000000149011612,7.0,0.0,-4496.94091796875,1408.1378173828125,0.0,0.0,2943.0,949.0,0.125,0.014676112681627274,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,6,2,0.0,0.0,6.983805360505357e-05,4.352226824266836e-05,0.0,0.0,nan,nan,-7114.39501953125,1649.06591796875,0.0,0.0,4665.0,1098.0,0.13967610895633698,0.08704452961683273,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,7,2,2.5,0.5,7.717611151747406e-05,2.27732743951492e-06,0.3571428656578064,0.0714285671710968,49.5,12.5,-7851.2939453125,1927.839599609375,0.0,0.0,5194.0,1276.0,0.15435221791267395,0.00455465167760849,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,8,2,2.0,1.0,9.109311940846965e-05,3.5425109672360122e-06,0.25,0.125,88.0,56.0,-5254.51953125,3142.744140625,0.0,0.0,3439.5,2074.5,0.18218624591827393,0.0070850178599357605,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,9,2,3.0,3.0,0.00011513158096931875,5.2378542022779584e-05,0.3333333432674408,0.3333333432674408,29.0,0.0,-6727.7880859375,3716.85546875,0.0,0.0,4429.0,2540.0,0.23026315867900848,0.10475708544254303,0.0,0.0,0.0,0.0
trained_without_pheromone__eval_without_pheromone,10,2,2.5,1.5,0.0001406882656738162,4.8076930397655815e-05,0.25,0.15000000596046448,696.0,645.0,-12135.12890625,4830.77587890625,0.0,0.0,8012.0,3189.0,0.28137651085853577,0.0961538553237915,0.0,0.0,0.0,0.0
