number_of_agents,"Trained w/ pheromone, eval w/ pheromone","Trained w/o pheromone, eval w/o pheromone","Trained w/ pheromone, eval w/o pheromone",Random walk baseline,best_condition
1,0.0,0.0,0.0,0.0,"Trained w/ pheromone, eval w/ pheromone; Trained w/o pheromone, eval w/o pheromone; Trained w/ pheromone, eval w/o pheromone; Random walk baseline"
2,0.0,0.0,0.0,0.0,"Trained w/ pheromone, eval w/ pheromone; Trained w/o pheromone, eval w/o pheromone; Trained w/ pheromone, eval w/o pheromone; Random walk baseline"
3,0.0,1.0,0.0,1.0,"Trained w/o pheromone, eval w/o pheromone; Random walk baseline"
4,1.0,1.0,0.0,0.0,"Trained w/ pheromone, eval w/ pheromone; Trained w/o pheromone, eval w/o pheromone"
5,3.0,1.0,0.0,1.0,"Trained w/ pheromone, eval w/ pheromone"
6,1.0,0.0,0.0,0.0,"Trained w/ pheromone, eval w/ pheromone"
7,0.0,2.0,3.0,1.0,"Trained w/ pheromone, eval w/o pheromone"
8,2.0,1.0,0.0,2.0,"Trained w/ pheromone, eval w/ pheromone; Random walk baseline"
9,1.0,6.0,2.0,0.0,"Trained w/o pheromone, eval w/o pheromone"
10,2.0,1.0,2.0,1.0,"Trained w/ pheromone, eval w/ pheromone; Trained w/ pheromone, eval w/o pheromone"
11,6.0,1.0,1.0,0.0,"Trained w/ pheromone, eval w/ pheromone"
12,1.0,1.0,4.0,2.0,"Trained w/ pheromone, eval w/o pheromone"
13,5.0,1.0,4.0,0.0,"Trained w/ pheromone, eval w/ pheromone"
14,5.0,4.0,1.0,2.0,"Trained w/ pheromone, eval w/ pheromone"
15,0.0,5.0,2.0,0.0,"Trained w/o pheromone, eval w/o pheromone"
