episode,global_step,epsilon,mean_episode_reward,food_discovered,food_retrieved,exploration_coverage,pheromone_usage,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_pheromone_component,swarm_efficiency
1,600,0.92886875,-67.43978118896484,1,0,0.16093117408906882,0.647110574659646,600,1866,-35.99999999999985,1.5,0.0,-373.2000000000001,3.0600000000000023,0.0,0.0
2,1200,0.85761875,-85.77303314208984,0,0,0.10526315789473684,0.7556313330506556,600,2403,-35.99999999999985,0.0,0.0,-480.60000000000036,1.9600000000000013,0.0,0.0
3,1800,0.7863687500000001,-65.61978912353516,1,0,0.14676113360323886,0.5774267027239401,600,1810,-35.99999999999985,1.5,0.0,-362.0000000000027,2.7800000000000016,0.0,0.0
4,2400,0.71511875,-75.81640625,1,0,0.1680161943319838,0.6764203783311247,600,2118,-35.99999999999985,1.5,0.0,-423.59999999999974,3.2000000000000024,0.0,0.0
5,3000,0.64386875,-66.2264404296875,2,0,0.22064777327935223,0.6020468104730977,600,1843,-35.99999999999985,3.0,0.0,-368.5999999999996,4.2399999999999975,0.0,0.0
6,3600,0.57261875,-100.46297454833984,1,0,0.0728744939271255,0.8358103417250832,600,2848,-35.99999999999985,1.5,0.0,-569.6000000000003,1.3200000000000007,0.0,0.0
7,4200,0.50136875,-83.24636840820312,2,0,0.19433198380566802,0.7105803301635186,600,2351,-35.99999999999985,3.0,0.0,-470.1999999999995,3.7200000000000024,0.0,0.0
8,4800,0.43011875,-84.4830322265625,2,0,0.152834008097166,0.7265002436517198,600,2384,-35.99999999999985,3.0,0.0,-476.8000000000012,2.900000000000002,0.0,0.0
9,5400,0.35886875000000007,-104.56295776367188,1,0,0.11336032388663968,0.8475814273559145,600,2975,-35.99999999999985,1.5,0.0,-595.0000000000001,2.1200000000000014,0.0,0.0
10,6000,0.28761875000000003,-78.12641906738281,0,0,0.10931174089068826,0.7635659738789301,600,2174,-35.99999999999985,0.0,0.0,-434.80000000000166,2.0400000000000014,0.0,0.0
11,6600,0.21636875,-62.703128814697266,2,0,0.19736842105263158,0.6283768747914464,600,1735,-35.99999999999985,3.0,0.0,-347.0000000000034,3.780000000000003,0.0,0.0
12,7200,0.14511875000000007,-69.5597915649414,1,0,0.11437246963562753,0.7498606747251951,600,1925,-35.99999999999985,1.5,0.0,-385.0000000000006,2.1400000000000015,0.0,0.0
13,7800,0.07386875000000004,-34.28656005859375,2,0,0.1720647773279352,0.621049376768964,600,880,-35.99999999999985,3.0,0.0,-176.00000000000142,3.2800000000000025,0.0,0.0
14,8400,0.05,-59.08979415893555,0,0,0.19129554655870445,0.650588226632269,600,1611,-35.99999999999985,0.0,0.0,-322.2000000000008,3.660000000000003,0.0,0.0
15,9000,0.05,-51.22984313964844,3,0,0.16396761133603238,0.6265989162541283,600,1395,-35.99999999999985,4.5,0.0,-279.0000000000017,3.1200000000000023,0.0,0.0
16,9600,0.05,-29.16661834716797,0,0,0.1882591093117409,0.5756237953983733,600,713,-35.99999999999985,0.0,0.0,-142.59999999999985,3.6000000000000028,0.0,0.0
