stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,100,100,2,0,False,-14.780250549316406,0.0,0.0,0.0,0.44,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,100,100,2,0,False,-14.20469856262207,1.0,1.0,0.0,0.32,0.0,0,120,1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,100,100,2,0,False,-5.109086036682129,1.0,1.0,0.0,0.48,0.0,0,120,84,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,100,100,2,0,False,23.255008697509766,1.0,1.0,1.0,0.48,0.0,0,120,43,43,0,0.008333333333333333
stage1a_single_agent_tiny,1,600,5,1,100,100,2,0,False,-10.985845565795898,1.0,1.0,0.0,0.4,0.0,0,120,37,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,100,100,2,0,False,-10.137986183166504,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,100,100,2,0,False,-13.46566390991211,0.0,0.0,0.0,0.4,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,100,100,2,0,False,-13.178533554077148,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1080,9,1,100,100,2,0,False,-18.88079833984375,0.0,0.0,0.0,0.32,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1143,10,1,100,100,2,0,False,-0.8519716262817383,2.0,2.0,0.0,0.28,0.0,0,63,12,-1,-1,0.0
stage1a_single_agent_tiny,1,1263,11,1,100,100,2,0,False,-20.920940399169922,0.0,0.0,0.0,0.16,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1383,12,1,100,100,2,0,False,-22.2314395904541,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
