stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,low_displacement_fraction,crowding_fraction,stuck_event_count,successful_escape_count,mean_stuck_duration,max_collision_streak,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,120,1,1,100,100,2,0,True,-14.834084510803223,0.0,0.0,0.0,0.44,0.482593301559488,61,0.5916666666666667,0.0,0,0,0.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,240,2,1,100,100,2,0,True,-14.565271377563477,1.0,1.0,0.0,0.32,0.5150904750994717,46,0.6166666666666667,0.0,2,0,9.0,1,120,1,-1,-1,0.0
stage1a_single_agent_tiny,1,360,3,1,100,100,2,0,True,2.731738328933716,2.0,2.0,0.0,0.48,0.4449156624400833,70,0.5666666666666667,0.0,2,0,8.0,1,120,46,-1,-1,0.0
stage1a_single_agent_tiny,1,480,4,1,100,100,2,0,True,3.263612747192383,2.0,2.0,0.0,0.36,0.4070433450397104,57,0.525,0.0,1,0,7.0,1,120,83,-1,-1,0.0
stage1a_single_agent_tiny,1,600,5,1,100,100,2,0,True,-22.600170135498047,0.0,0.0,0.0,0.28,0.6448329732598116,65,0.6,0.0,4,0,7.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,720,6,1,100,100,2,0,True,-10.069125175476074,1.0,1.0,0.0,0.28,0.5856966340603927,78,0.65,0.0,1,0,11.0,1,120,55,-1,-1,0.0
stage1a_single_agent_tiny,1,840,7,1,100,100,2,0,True,10.506020545959473,2.0,2.0,0.0,0.4,0.3622421058253773,49,0.5666666666666667,0.0,0,0,0.0,1,120,76,-1,-1,0.0
stage1a_single_agent_tiny,1,960,8,1,100,100,2,0,True,15.695995330810547,3.0,3.0,0.0,0.4,0.3523821300632941,59,0.4666666666666667,0.0,0,0,0.0,1,120,13,-1,-1,0.0
stage1a_single_agent_tiny,1,1080,9,1,100,100,2,0,True,-7.879336833953857,2.0,2.0,0.0,0.4,0.48833195883198643,60,0.5416666666666666,0.0,1,0,7.0,1,120,60,-1,-1,0.0
stage1a_single_agent_tiny,1,1200,10,1,100,100,2,0,True,-18.264982223510742,0.0,0.0,0.0,0.36,0.5330428994726389,61,0.6166666666666667,0.0,4,0,8.5,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,1320,11,1,100,100,2,0,True,9.546331405639648,3.0,3.0,0.0,0.24,0.4800864179579852,59,0.6,0.0,0,0,0.0,1,120,7,-1,-1,0.0
stage1a_single_agent_tiny,1,1440,12,1,100,100,2,0,True,-10.024621963500977,1.0,1.0,0.0,0.44,0.5612882607306043,74,0.5833333333333334,0.0,2,0,7.0,1,120,101,-1,-1,0.0
stage1a_single_agent_tiny,1,1560,13,1,100,100,2,0,True,15.556175231933594,1.0,1.0,1.0,0.4,0.4334256086323876,64,0.55,0.0,1,0,11.0,1,120,54,54,0,0.008333333333333333
stage1a_single_agent_tiny,1,1680,14,1,100,100,2,0,True,-14.469788551330566,1.0,1.0,0.0,0.36,0.5049816095968709,84,0.55,0.0,3,0,7.0,1,120,11,-1,-1,0.0
stage1a_single_agent_tiny,1,1800,15,1,100,100,2,0,True,-2.171475648880005,1.0,1.0,0.0,0.28,0.6000151665570835,57,0.725,0.0,3,0,8.333333333333334,1,120,84,-1,-1,0.0
stage1a_single_agent_tiny,1,1920,16,1,100,100,2,0,True,-7.057859897613525,1.0,1.0,0.0,0.44,0.42377130421227777,46,0.6416666666666667,0.0,3,0,9.0,1,120,91,-1,-1,0.0
stage1a_single_agent_tiny,1,2040,17,1,100,100,2,0,True,-9.113723754882812,0.0,0.0,0.0,0.28,0.4816390914958902,65,0.7083333333333334,0.0,1,0,9.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,2160,18,1,100,100,2,0,True,-0.8156852126121521,1.0,1.0,0.0,0.4,0.4798271497983175,65,0.6333333333333333,0.0,2,0,8.0,1,120,115,-1,-1,0.0
stage1a_single_agent_tiny,1,2280,19,1,100,100,2,0,True,7.832836627960205,3.0,3.0,0.0,0.4,0.4983173504471779,52,0.6083333333333333,0.0,2,0,9.0,1,120,39,-1,-1,0.0
stage1a_single_agent_tiny,1,2400,20,1,100,100,2,0,True,-3.752138137817383,1.0,1.0,0.0,0.36,0.5814618418614069,62,0.6916666666666667,0.0,3,0,8.0,1,120,41,-1,-1,0.0
stage1a_single_agent_tiny,1,2520,21,1,100,100,2,0,True,2.94494891166687,2.0,2.0,0.0,0.36,0.4627676109400151,59,0.6166666666666667,0.0,1,0,7.0,1,120,18,-1,-1,0.0
stage1a_single_agent_tiny,1,2640,22,1,100,100,2,0,True,-6.431424617767334,2.0,2.0,0.0,0.28,0.5923217111965642,70,0.6416666666666667,0.0,3,0,8.0,1,120,28,-1,-1,0.0
stage1a_single_agent_tiny,1,2760,23,1,100,100,2,0,True,25.781051635742188,6.0,6.0,0.0,0.36,0.40128568172222,61,0.49166666666666664,0.0,0,0,0.0,1,120,36,-1,-1,0.0
stage1a_single_agent_tiny,1,2880,24,1,100,100,2,0,True,18.494354248046875,1.0,1.0,1.0,0.44,0.46105085645297855,70,0.6166666666666667,0.0,4,0,7.5,1,120,99,99,0,0.008333333333333333
stage1a_single_agent_tiny,1,3000,25,1,100,100,2,0,True,2.5414557456970215,1.0,1.0,0.0,0.24,0.47413555563349896,62,0.6166666666666667,0.0,1,0,7.0,1,120,30,-1,-1,0.0
stage1a_single_agent_tiny,1,3120,26,1,100,100,2,0,True,-19.463998794555664,0.0,0.0,0.0,0.16,0.6442582345121385,77,0.65,0.0,2,0,8.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3240,27,1,100,100,2,0,True,-23.7200984954834,0.0,0.0,0.0,0.52,0.37172318961044465,74,0.475,0.0,2,0,6.5,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,3360,28,1,100,100,2,0,True,-8.254687309265137,1.0,1.0,0.0,0.36,0.508611842035316,66,0.6166666666666667,0.0,2,0,9.0,1,120,68,-1,-1,0.0
stage1a_single_agent_tiny,1,3480,29,1,100,100,2,0,True,6.496201038360596,3.0,3.0,0.0,0.4,0.542594727386798,73,0.5916666666666667,0.0,1,0,9.0,1,120,43,-1,-1,0.0
stage1a_single_agent_tiny,1,3600,30,1,100,100,2,0,True,-2.135230541229248,2.0,2.0,0.0,0.36,0.4509007305576233,71,0.5583333333333333,0.0,2,0,8.0,1,120,27,-1,-1,0.0
stage1a_single_agent_tiny,1,3720,31,1,100,100,2,0,True,-1.0602984428405762,1.0,1.0,0.0,0.4,0.5153779991931515,70,0.6833333333333333,0.0,2,0,10.0,1,120,25,-1,-1,0.0
stage1a_single_agent_tiny,1,3840,32,1,100,100,2,0,True,-0.591242253780365,2.0,2.0,0.0,0.48,0.43535095289116726,65,0.5333333333333333,0.0,2,0,9.0,1,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,3960,33,1,100,100,2,0,True,-1.0393420457839966,1.0,1.0,0.0,0.24,0.5116094826410215,43,0.7416666666666667,0.0,5,0,8.2,1,120,22,-1,-1,0.0
stage1a_single_agent_tiny,1,4080,34,1,100,100,2,0,True,27.645477294921875,4.0,4.0,0.0,0.44,0.42639186126956097,78,0.525,0.0,1,0,7.0,1,120,3,-1,-1,0.0
stage1a_single_agent_tiny,1,4200,35,1,100,100,2,0,True,15.395702362060547,3.0,3.0,0.0,0.48,0.36707354699901773,55,0.625,0.0,1,0,7.0,1,120,78,-1,-1,0.0
stage1a_single_agent_tiny,1,4320,36,1,100,100,2,0,True,21.74930191040039,1.0,1.0,1.0,0.56,0.4854417960314701,71,0.575,0.0,3,0,8.333333333333334,1,120,28,28,0,0.008333333333333333
