stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_miniscule,1,1,120,1,1,50,50,1,0,-25.79857063293457,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,164,2,1,50,50,1,0,138.7153778076172,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,44,41,41,0,0.09090909090909091
stage1a_single_agent_miniscule,1,1,208,3,1,50,50,1,0,135.8372039794922,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,44,41,41,0,0.09090909090909091
stage1a_single_agent_miniscule,1,1,212,4,1,50,50,1,0,142.58999633789062,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,332,5,1,50,50,1,0,-12.437206268310547,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,452,6,1,50,50,1,0,-17.148653030395508,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,572,7,1,50,50,1,0,22.178876876831055,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,96,96,0,0.008333333333333333
stage1a_single_agent_miniscule,1,1,690,8,1,50,50,1,0,128.59092712402344,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,118,115,115,0,0.03389830508474576
stage1a_single_agent_miniscule,1,1,810,9,1,50,50,1,0,87.88397979736328,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,1,1,0,0.025
stage1a_single_agent_miniscule,1,1,870,10,1,50,50,1,0,134.0723876953125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,60,57,57,0,0.06666666666666667
stage1a_single_agent_miniscule,1,1,949,11,1,50,50,1,0,132.02700805664062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,79,52,52,0,0.05063291139240506
stage1a_single_agent_miniscule,1,1,1069,12,1,50,50,1,0,-18.297574996948242,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1144,13,1,50,50,1,0,132.55191040039062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,75,72,72,0,0.05333333333333334
stage1a_single_agent_miniscule,1,1,1264,14,1,50,50,1,0,-16.989919662475586,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,1348,15,1,50,50,1,0,133.56964111328125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,84,81,81,0,0.047619047619047616
