stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_miniscule,1,120,1,1,50,50,1,0,82.07286834716797,3.0,3.0,3.0,0.3333333333333333,0.0,0,0,1,120,117,117,0,0.025
stage1a_single_agent_miniscule,1,240,2,1,50,50,1,0,-18.77939796447754,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,360,3,1,50,50,1,0,-20.856508255004883,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,480,4,1,50,50,1,0,89.3929672241211,3.0,3.0,3.0,0.3333333333333333,0.0,0,0,1,120,79,79,0,0.025
stage1a_single_agent_miniscule,1,600,5,1,50,50,1,0,-17.317459106445312,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,655,6,1,50,50,1,0,132.8359832763672,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,55,47,47,0,0.07272727272727272
stage1a_single_agent_miniscule,1,767,7,1,50,50,1,0,124.35586547851562,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,112,109,109,0,0.03571428571428571
stage1a_single_agent_miniscule,1,887,8,1,50,50,1,0,-18.199569702148438,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1007,9,1,50,50,1,0,-19.958417892456055,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1127,10,1,50,50,1,0,-12.510946273803711,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1247,11,1,50,50,1,0,84.90310668945312,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,85,85,0,0.025
stage1a_single_agent_miniscule,1,1367,12,1,50,50,1,0,-21.302457809448242,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1418,13,1,50,50,1,0,138.71514892578125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,51,46,46,0,0.0784313725490196
stage1a_single_agent_miniscule,1,1538,14,1,50,50,1,0,-19.50983428955078,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1542,15,1,50,50,1,0,140.92874145507812,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1662,16,1,50,50,1,0,-18.324352264404297,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1771,17,1,50,50,1,0,125.5611572265625,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,109,106,106,0,0.03669724770642202
stage1a_single_agent_miniscule,1,1856,18,1,50,50,1,0,134.8699951171875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,85,73,73,0,0.047058823529411764
stage1a_single_agent_miniscule,1,1976,19,1,50,50,1,0,-24.46925926208496,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,2068,20,1,50,50,1,0,127.75537109375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,92,89,89,0,0.043478260869565216
stage1a_single_agent_miniscule,1,2188,21,1,50,50,1,0,89.40049743652344,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,31,31,0,0.025
stage1a_single_agent_miniscule,1,2308,22,1,50,50,1,0,56.52559280395508,2.0,2.0,2.0,0.3333333333333333,0.0,0,0,2,120,111,111,0,0.016666666666666666
stage1a_single_agent_miniscule,1,2428,23,1,50,50,1,0,43.371639251708984,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,23,23,0,0.016666666666666666
stage1a_single_agent_miniscule,1,2548,24,1,50,50,1,0,-21.426416397094727,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,2668,25,1,50,50,1,0,-15.020272254943848,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,2776,26,1,50,50,1,0,121.3067626953125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,108,103,103,0,0.037037037037037035
stage1a_single_agent_miniscule,1,2798,27,1,50,50,1,0,142.27000427246094,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,22,18,18,0,0.18181818181818182
stage1a_single_agent_miniscule,1,2807,28,1,50,50,1,0,143.83775329589844,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,9,1,1,0,0.4444444444444444
stage1a_single_agent_miniscule,1,2927,29,1,50,50,1,0,-13.988764762878418,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,2985,30,1,50,50,1,0,137.09100341796875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,58,39,39,0,0.06896551724137931
stage1a_single_agent_miniscule,1,3105,31,1,50,50,1,0,-12.169899940490723,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,3154,32,1,50,50,1,0,135.61492919921875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,49,46,46,0,0.08163265306122448
stage1a_single_agent_miniscule,1,3274,33,1,50,50,1,0,-21.629520416259766,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,3388,34,1,50,50,1,0,130.31149291992188,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,114,106,106,0,0.03508771929824561
