stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_miniscule,1,1,85,1,1,50,50,1,0,190.12542724609375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,85,82,82,0,0.047058823529411764
stage1a_single_agent_miniscule,1,1,205,2,1,50,50,1,0,-4.1698102951049805,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,288,3,1,50,50,1,0,188.83621215820312,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,83,54,54,0,0.04819277108433735
stage1a_single_agent_miniscule,1,1,292,4,1,50,50,1,0,191.71200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0
stage1a_single_agent_miniscule,1,1,412,5,1,50,50,1,0,-2.995635986328125,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,532,6,1,50,50,1,0,-3.981900691986084,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,652,7,1,50,50,1,0,-3.6119203567504883,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1a_single_agent_miniscule,1,1,772,8,1,50,50,1,0,-3.2719521522521973,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0
stage1b_single_agent_tiny,2,1,939,9,1,75,75,1,0,-3.1367781162261963,0.0,0.0,0.0,0.375,0.0,0,0,4,120,-1,-1,-1,0.0
stage1b_single_agent_tiny,2,1,1034,10,1,75,75,1,0,30.204830169677734,4.0,4.0,0.0,0.375,0.0,0,0,0,95,91,-1,-1,0.0
stage1b_single_agent_tiny,2,1,1070,11,1,75,75,1,0,31.110761642456055,4.0,4.0,0.0,0.125,0.0,0,0,0,36,32,-1,-1,0.0
stage1b_single_agent_tiny,2,1,1190,12,1,75,75,1,0,-1.8765006065368652,0.0,0.0,0.0,0.375,0.0,0,0,4,120,-1,-1,-1,0.0
stage1b_single_agent_tiny,2,1,1284,13,1,75,75,1,0,190.41799926757812,4.0,4.0,4.0,0.25,0.0,0,0,0,94,91,91,0,0.0425531914893617
stage1b_single_agent_tiny,2,1,1404,14,1,75,75,1,0,-1.6307928562164307,0.0,0.0,0.0,0.25,0.0,0,0,4,120,-1,-1,-1,0.0
stage1b_single_agent_tiny,2,1,1524,15,1,75,75,1,0,-2.57908296585083,0.0,0.0,0.0,0.5,0.0,0,0,4,120,-1,-1,-1,0.0
stage1b_single_agent_tiny,2,1,1569,16,1,75,75,1,0,31.514127731323242,4.0,4.0,0.0,0.25,0.0,0,0,0,45,41,-1,-1,0.0
stage1c_single_agent_small,3,1,1746,17,1,100,100,1,0,29.231754302978516,4.0,4.0,0.0,0.24,0.0,0,0,0,108,104,-1,-1,0.0
stage1c_single_agent_small,3,1,1886,18,1,100,100,1,0,-5.131673812866211,0.0,0.0,0.0,0.32,0.0,0,0,4,140,-1,-1,-1,0.0
stage1c_single_agent_small,3,1,2026,19,1,100,100,1,0,20.028297424316406,3.0,3.0,0.0,0.28,0.0,0,0,1,140,84,-1,-1,0.0
stage1c_single_agent_small,3,1,2166,20,1,100,100,1,0,-4.722481727600098,0.0,0.0,0.0,0.24,0.0,0,0,4,140,-1,-1,-1,0.0
stage1c_single_agent_small,3,1,2220,21,1,100,100,1,0,30.746339797973633,4.0,4.0,0.0,0.16,0.0,0,0,0,54,50,-1,-1,0.0
stage1c_single_agent_small,3,1,2360,22,1,100,100,1,0,-4.167189598083496,0.0,0.0,0.0,0.2,0.0,0,0,4,140,-1,-1,-1,0.0
stage1d_single_agent_delivery_obstacles,4,1,2777,23,1,420,320,1,2,-3.8104329109191895,0.0,0.0,0.0,0.07936507936507936,0.0,0,0,4,320,-1,-1,-1,0.0
stage1d_single_agent_delivery_obstacles,4,1,3097,24,1,420,320,1,2,-6.612624645233154,0.0,0.0,0.0,0.17857142857142858,0.0,0,0,4,320,-1,-1,-1,0.0
stage1d_single_agent_delivery_obstacles,4,1,3306,25,1,420,320,1,2,21.549222946166992,4.0,4.0,0.0,0.05952380952380952,0.0,0,0,0,209,205,-1,-1,0.0
stage1d_single_agent_delivery_obstacles,4,1,3626,26,1,420,320,1,2,-6.269991397857666,0.0,0.0,0.0,0.07539682539682539,0.0,0,0,4,320,-1,-1,-1,0.0
stage1d_single_agent_delivery_obstacles,4,1,3946,27,1,420,320,1,2,-9.4970121383667,0.0,0.0,0.0,0.12301587301587301,0.0,0,0,4,320,-1,-1,-1,0.0
