stage,stage_index,global_step,episode,n_agents,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,episode_length,swarm_efficiency
stage1_single_agent,1,600,1,1,-593.16455078125,0.0,0.0,0.0,0.04251012145748988,0.7660352814019037,600,0.0
stage1_single_agent,1,1200,2,1,-35.69889831542969,0.0,0.0,0.0,0.07793522267206478,0.3641397996492257,600,0.0
stage1_single_agent,1,1800,3,1,-476.51904296875,0.0,0.0,0.0,0.030364372469635626,0.7002104964960988,600,0.0
stage1_single_agent,1,2400,4,1,-792.200439453125,0.0,0.0,0.0,0.009109311740890687,0.9133159918047022,600,0.0
stage1_single_agent,1,3000,5,1,-23.794666290283203,0.0,0.0,0.0,0.07894736842105263,0.3313390546728624,600,0.0
stage1_single_agent,1,3600,6,1,-608.4973754882812,0.0,0.0,0.0,0.02631578947368421,0.7876710090611596,600,0.0
stage1_single_agent,1,4200,7,1,-782.8033447265625,0.0,0.0,0.0,0.022267206477732792,0.8988084951972511,600,0.0
stage1_single_agent,1,4800,8,1,-837.0925903320312,0.0,0.0,0.0,0.011133603238866396,0.9460541872742275,600,0.0
stage1_single_agent,1,5400,9,1,-797.925048828125,0.0,0.0,0.0,0.012145748987854251,0.9229173576897787,600,0.0
stage1_single_agent,1,6000,10,1,-768.027587890625,0.0,0.0,0.0,0.013157894736842105,0.9072584246875097,600,0.0
stage1_single_agent,1,6600,11,1,-758.8795776367188,0.0,0.0,0.0,0.02327935222672065,0.8741444970147374,600,0.0
stage1_single_agent,1,7200,12,1,-804.1181030273438,0.0,0.0,0.0,0.011133603238866396,0.9245396779520282,600,0.0
stage1_single_agent,1,7800,13,1,-296.3097839355469,0.0,0.0,0.0,0.04554655870445344,0.5865243906714022,600,0.0
stage1_single_agent,1,8400,14,1,-858.1008911132812,0.0,0.0,0.0,0.010121457489878543,0.9479142573165397,600,0.0
stage1_single_agent,1,9000,15,1,-19.286020278930664,0.0,0.0,0.0,0.05668016194331984,0.4253542530835451,600,0.0
stage1_single_agent,1,9600,16,1,-743.61669921875,0.0,0.0,0.0,0.020242914979757085,0.8650548906441933,600,0.0
stage2_small_swarm,2,11800,17,3,-544.5877075195312,0.0,0.0,0.0,0.06680161943319839,0.5143352527601301,600,0.0
stage2_small_swarm,2,13600,18,3,-124.97960662841797,0.0,0.0,0.0,0.053643724696356275,0.36246038651223195,600,0.0
stage2_small_swarm,2,15400,19,3,-480.2649230957031,0.0,0.0,0.0,0.048582995951417005,0.48260193715091904,600,0.0
stage2_small_swarm,2,17200,20,3,-642.4799194335938,0.0,0.0,0.0,0.04554655870445344,0.5957762332418416,600,0.0
stage2_small_swarm,2,19000,21,3,-269.5577087402344,0.0,0.0,0.0,0.12246963562753037,0.47223119001846897,600,0.0
stage3_full_marl,3,23602,22,6,-775.812744140625,0.0,0.0,0.0,0.09008097165991903,0.6320467749239146,600,0.0
stage3_full_marl,3,27202,23,6,-480.5672912597656,0.0,0.0,0.0,0.1771255060728745,0.47554978319299046,600,0.0
