stage,stage_index,global_step,episode,n_agents,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,episode_length,swarm_efficiency
stage1_single_agent,1,600,1,1,-593.16455078125,0.0,0.0,0.0,0.04251012145748988,0.7660352814019037,600,0.0
stage1_single_agent,1,1200,2,1,-35.69889831542969,0.0,0.0,0.0,0.07793522267206478,0.3641397996492257,600,0.0
stage1_single_agent,1,1800,3,1,-476.51904296875,0.0,0.0,0.0,0.030364372469635626,0.7002104964960988,600,0.0
stage1_single_agent,1,2400,4,1,-792.200439453125,0.0,0.0,0.0,0.009109311740890687,0.9133159918047022,600,0.0
stage1_single_agent,1,3000,5,1,-23.794666290283203,0.0,0.0,0.0,0.07894736842105263,0.3313390546728624,600,0.0
stage1_single_agent,1,3600,6,1,-608.4973754882812,0.0,0.0,0.0,0.02631578947368421,0.7876710090611596,600,0.0
stage1_single_agent,1,4200,7,1,-782.8033447265625,0.0,0.0,0.0,0.022267206477732792,0.8988084951972511,600,0.0
stage1_single_agent,1,4800,8,1,-837.0925903320312,0.0,0.0,0.0,0.011133603238866396,0.9460541872742275,600,0.0
stage1_single_agent,1,5400,9,1,-797.925048828125,0.0,0.0,0.0,0.012145748987854251,0.9229173576897787,600,0.0
stage1_single_agent,1,6000,10,1,-768.027587890625,0.0,0.0,0.0,0.013157894736842105,0.9072584246875097,600,0.0
stage1_single_agent,1,6600,11,1,-758.8795776367188,0.0,0.0,0.0,0.02327935222672065,0.8741444970147374,600,0.0
stage1_single_agent,1,7200,12,1,-804.1181030273438,0.0,0.0,0.0,0.011133603238866396,0.9245396779520282,600,0.0
stage1_single_agent,1,7800,13,1,-296.3097839355469,0.0,0.0,0.0,0.04554655870445344,0.5865243906714022,600,0.0
stage1_single_agent,1,8400,14,1,-858.1008911132812,0.0,0.0,0.0,0.010121457489878543,0.9479142573165397,600,0.0
stage1_single_agent,1,9000,15,1,-19.286020278930664,0.0,0.0,0.0,0.05668016194331984,0.4253542530835451,600,0.0
stage1_single_agent,1,9600,16,1,-743.61669921875,0.0,0.0,0.0,0.020242914979757085,0.8650548906441933,600,0.0
stage1_single_agent,1,10200,17,1,-714.8787231445312,0.0,0.0,0.0,0.019230769230769232,0.8587067280490495,600,0.0
stage1_single_agent,1,10800,18,1,-865.2337036132812,0.0,0.0,0.0,0.00708502024291498,0.9622848304888855,600,0.0
stage1_single_agent,1,11400,19,1,-763.19482421875,0.0,0.0,0.0,0.008097165991902834,0.8769312393059954,600,0.0
stage1_single_agent,1,12000,20,1,-606.5972290039062,0.0,0.0,0.0,0.02631578947368421,0.8116407933659502,600,0.0
stage1_single_agent,1,12600,21,1,-52.28379440307617,0.0,0.0,0.0,0.04554655870445344,0.45627070721413476,600,0.0
stage1_single_agent,1,13200,22,1,-447.058837890625,0.0,0.0,0.0,0.04251012145748988,0.6174932325386908,600,0.0
stage1_single_agent,1,13800,23,1,-850.1085815429688,0.0,0.0,0.0,0.005060728744939271,0.9509434587880969,600,0.0
stage1_single_agent,1,14400,24,1,-150.09629821777344,0.0,0.0,0.0,0.02327935222672065,0.520076328968474,600,0.0
stage1_single_agent,1,15000,25,1,-5.941474914550781,0.0,0.0,0.0,0.025303643724696356,0.3380114953732118,600,0.0
stage1_single_agent,1,15600,26,1,-875.0592651367188,0.0,0.0,0.0,0.003036437246963563,0.9753110608590456,600,0.0
stage1_single_agent,1,16200,27,1,-634.6841430664062,1.0,1.0,0.0,0.02327935222672065,0.7834726200539929,600,0.0
stage1_single_agent,1,16800,28,1,-864.3929443359375,0.0,0.0,0.0,0.013157894736842105,0.9377376917377114,600,0.0
stage1_single_agent,1,17400,29,1,-4.8622283935546875,0.0,0.0,0.0,0.10222672064777327,0.10565852635190823,600,0.0
stage1_single_agent,1,18000,30,1,-837.0490112304688,0.0,0.0,0.0,0.010121457489878543,0.7506113982480019,600,0.0
stage1_single_agent,1,18600,31,1,-740.1210327148438,0.0,0.0,0.0,0.029352226720647773,0.7936811554276695,600,0.0
stage1_single_agent,1,19200,32,1,-884.9580078125,0.0,0.0,0.0,0.010121457489878543,0.7416666666666667,600,0.0
stage1_single_agent,1,19800,33,1,-888.3955078125,0.0,0.0,0.0,0.005060728744939271,0.9179253115097527,600,0.0
stage1_single_agent,1,20400,34,1,-846.6127319335938,0.0,0.0,0.0,0.00708502024291498,0.9267930505843833,600,0.0
stage1_single_agent,1,21000,35,1,-885.2353515625,0.0,0.0,0.0,0.009109311740890687,0.8986784996589025,600,0.0
stage1_single_agent,1,21600,36,1,-857.8572998046875,0.0,0.0,0.0,0.01720647773279352,0.745,600,0.0
stage1_single_agent,1,22200,37,1,-861.2578125,0.0,0.0,0.0,0.00708502024291498,0.907561894924341,600,0.0
stage1_single_agent,1,22800,38,1,-835.9905395507812,0.0,0.0,0.0,0.020242914979757085,0.8629856267509362,600,0.0
