stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,91,1,1,50,50,1,0,189.01800537109375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,91,88,88,0,1.0,0.04395604395604396
stage1a_single_agent_miniscule,1,1,117,2,1,50,50,1,0,190.48675537109375,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,26,23,23,0,1.0,0.15384615384615385
stage1a_single_agent_miniscule,1,1,208,3,1,50,50,1,0,189.369384765625,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,91,87,87,0,1.0,0.04395604395604396
stage1a_single_agent_miniscule,1,1,328,4,1,50,50,1,0,94.3191146850586,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,1,1,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,332,5,1,50,50,1,0,191.77200317382812,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,452,6,1,50,50,1,0,-3.9180870056152344,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,473,7,1,50,50,1,0,191.56057739257812,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,21,18,18,0,1.0,0.19047619047619047
stage1a_single_agent_miniscule,1,1,516,8,1,50,50,1,0,190.5440673828125,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,43,40,40,0,1.0,0.09302325581395349
stage1a_single_agent_miniscule,1,1,636,9,1,50,50,1,0,-2.947077751159668,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,756,10,1,50,50,1,0,-3.443573236465454,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
