stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,carrying_stall_events,carrying_stall_fraction,carrying_low_progress_fraction,carrying_low_displacement_fraction,carrying_penalty_total,swarm_efficiency
stage1a_single_agent_miniscule,1,1,84,1,1,50,50,1,0,190.78521728515625,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,84,81,81,0,1.0,0,0.0,0.0,0.0,0.0,0.047619047619047616
stage1a_single_agent_miniscule,1,1,149,2,1,50,50,1,0,190.70986938476562,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,65,56,56,0,1.0,0,0.0,0.0,0.0,0.0,0.06153846153846154
stage1a_single_agent_miniscule,1,1,269,3,1,50,50,1,0,-2.162599563598633,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0
stage1a_single_agent_miniscule,1,1,389,4,1,50,50,1,0,-2.3969569206237793,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0
stage1a_single_agent_miniscule,1,1,427,5,1,50,50,1,0,190.62274169921875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,38,35,35,0,1.0,0,0.0,0.0,0.0,0.0,0.10526315789473684
stage1a_single_agent_miniscule,1,1,547,6,1,50,50,1,0,-2.2924633026123047,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0
stage1a_single_agent_miniscule,1,1,576,7,1,50,50,1,0,191.47244262695312,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,29,6,6,0,1.0,0,0.0,0.0,0.0,0.0,0.13793103448275862
stage1b_single_agent_tiny,2,1,677,8,1,75,75,1,0,190.3699493408203,4.0,4.0,4.0,0.25,0.0,0,0,0,37,2,34,32,1.0,2,0.4594594594594595,0.6756756756756757,0.2702702702702703,-1.2000000000000006,0.10810810810810811
stage1b_single_agent_tiny,2,1,793,9,1,75,75,1,0,184.40846252441406,4.0,4.0,4.0,0.25,0.0,0,0,0,116,4,13,9,1.0,9,0.3706896551724138,0.7155172413793104,0.47413793103448276,-4.420000000000001,0.034482758620689655
stage1b_single_agent_tiny,2,1,913,10,1,75,75,1,0,40.92170333862305,1.0,1.0,1.0,0.5,0.0,0,0,3,120,8,105,97,1.0,5,0.6,0.7333333333333333,0.35833333333333334,-4.380000000000001,0.008333333333333333
stage1b_single_agent_tiny,2,1,1033,11,1,75,75,1,0,-2.84964919090271,0.0,0.0,0.0,0.375,0.0,0,0,4,120,-1,-1,-1,0.0,0,0.0,0.0,0.0,0.0,0.0
