episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9715475,-53.43484115600586,0,0,0,0,0.14979757085020243,2.840000000000002,0.567981286844976,1805,600,2053,-287.9999999999988,0.0,0.0,-410.59999999999906,2.840000000000002,2.840000000000002,0.6913048655192056,0.49999999999999994,1.1131394674535837,408.9465265283827,-36.09999999999976,373.9596659958366,0.0
2,1200,0.9430475,-59.554779052734375,0,0,0,0,0.12753036437246965,2.4000000000000017,0.593741529756921,1732,600,2333,-287.9999999999988,0.0,0.0,-466.59999999999894,2.4000000000000017,2.4000000000000017,0.7250865147908527,0.39999999999999997,0.8922109394520519,427.4939014249829,-34.63999999999979,393.74611236443513,0.0
3,1800,0.9145475,-39.219520568847656,0,0,0,0,0.18522267206477733,3.5400000000000027,0.4730755364513284,1741,600,1300,-287.9999999999988,0.0,0.0,-260.0000000000002,3.5400000000000027,3.5400000000000027,1.3504644699096684,0.39999999999999997,1.598013538476079,340.61438624495645,-34.81999999999977,307.3923997834328,0.0
4,2400,0.8860475,-56.23868179321289,0,0,0,0,0.1396761133603239,2.640000000000002,0.5498943949102006,1600,600,2091,-287.9999999999988,0.0,0.0,-418.20000000000147,2.640000000000002,2.640000000000002,0.5320806579589844,0.35,1.3219671563990416,395.92396433534424,-31.999999999999684,365.24593149174365,0.0
5,3000,0.8575475,-66.10330963134766,0,0,0,0,0.11842105263157894,2.2200000000000015,0.6169965691238192,1663,600,2619,-287.9999999999988,0.0,0.0,-523.7999999999984,2.2200000000000015,2.2200000000000015,1.0566293512980145,0.25,0.6760079108923676,444.23752976914983,-33.25999999999974,411.65353768004246,0.0
6,3600,0.8290475,-43.949554443359375,0,0,0,0,0.18319838056680163,3.5000000000000027,0.487269448545008,1501,600,1516,-287.9999999999988,0.0,0.0,-303.20000000000203,3.5000000000000027,3.5000000000000027,1.7155817515055334,0.5499999999999999,0.9230025826022029,350.83400295240597,-30.01999999999969,321.73700553500845,0.0
7,4200,0.8005475,-46.55747604370117,0,0,0,0,0.14676113360323886,2.780000000000002,0.489297133627713,1547,600,1587,-287.9999999999988,0.0,0.0,-317.4000000000005,2.780000000000002,2.780000000000002,0.8155842183430986,0.35,0.7556458524568006,352.2939362119532,-30.93999999999968,322.10958206441035,0.0
8,4800,0.7720475,-53.94231033325195,1,1,0,0,0.145748987854251,2.7600000000000016,0.5428371716645214,1604,600,2036,-287.9999999999988,8.0,0.0,-407.2000000000018,2.7600000000000016,2.7600000000000016,0.6839870974222823,0.25,1.0893940078094597,390.8427635984554,-32.07999999999971,359.85215760626517,0.0
9,5400,0.7435475,-18.72792625427246,1,1,0,0,0.16194331983805668,3.0800000000000023,0.41861067416436626,1608,600,539,-287.9999999999988,8.0,0.0,-107.80000000000099,3.0800000000000023,3.0800000000000023,0.9554633941650392,0.25,1.9072615308640521,301.3996853983436,-32.15999999999967,271.14694692920796,0.0
10,6000,0.7150475000000001,-32.90133285522461,0,0,0,0,0.13765182186234817,2.600000000000002,0.500694568552798,1543,600,1220,-287.9999999999988,0.0,0.0,-244.0000000000018,2.600000000000002,2.600000000000002,0.8550859222412113,0.2,1.2968099819216876,360.5000893580145,-30.859999999999676,330.93689933993653,0.0
