episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.988619,-490.1895751953125,0,0,0,0,0.12854251012145748,2.4200000000000017,0.5512766201990761,1783,600,1937,-35.99999999999985,0.0,0.0,-2905.5,2.4200000000000017,2.4200000000000017,-0.1412013575236002,0.6499999999999999,1.0066796495486052,0.0,-3.565999999999971,-2.5593203504513657,0.0
2,1200,0.977219,-509.143310546875,1,1,0,0,0.15182186234817813,2.880000000000002,0.5673087664808797,1821,600,2033,-35.99999999999985,30.0,0.0,-3049.5,2.880000000000002,2.880000000000002,0.0892480328877768,0.55,0.7713167022541164,0.0,-3.6419999999999733,-2.870683297745857,0.0
3,1800,0.965819,-547.0960083007812,0,0,0,0,0.11336032388663968,2.1200000000000014,0.5906576307079942,1830,600,2164,-35.99999999999985,0.0,0.0,-3246.0,2.1200000000000014,2.1200000000000014,0.08954445393880205,0.3,0.5841930604353543,0.0,-3.659999999999973,-3.0758069395646186,0.0
4,2400,0.954419,-306.6282043457031,0,0,0,0,0.17307692307692307,3.3000000000000025,0.4636375357093978,1796,600,1204,-35.99999999999985,0.0,0.0,-1806.0,3.3000000000000025,3.3000000000000025,0.07094193522135413,0.6,1.855306835216471,0.0,-3.5919999999999717,-1.7366931647835007,0.0
5,3000,0.943019,-673.1984252929688,0,0,0,0,0.10020242914979757,1.8600000000000012,0.6429598535964518,1742,600,2668,-35.99999999999985,0.0,0.0,-4002.0,1.8600000000000012,1.8600000000000012,-0.17154910278320307,0.15000000000000002,0.4664523251680657,0.0,-3.483999999999973,-3.0175476748319072,0.0
6,3600,0.931619,-533.4562377929688,1,1,0,0,0.09919028340080972,1.8400000000000012,0.601500898576091,1868,600,2129,-35.99999999999985,30.0,0.0,-3193.5,1.8400000000000012,1.8400000000000012,0.028347757975260422,0.25,0.3882761333277448,0.0,-3.7359999999999713,-3.3477238666722267,0.0
7,4200,0.920219,-483.7096252441406,0,0,0,0,0.13765182186234817,2.600000000000002,0.5188980924542395,1786,600,1911,-35.99999999999985,0.0,0.0,-2866.5,2.600000000000002,2.600000000000002,0.004565714518229117,0.49999999999999994,0.7156360165402291,0.0,-3.571999999999974,-2.8563639834597447,0.0
8,4800,0.908819,-336.0645446777344,1,1,0,0,0.17105263157894737,3.2600000000000025,0.4677748758315203,1847,600,1341,-35.99999999999985,30.0,0.0,-2011.5,3.2600000000000025,3.2600000000000025,-0.002566567738850915,0.2,1.352946819565258,0.0,-3.693999999999971,-2.341053180434713,0.0
9,5400,0.897419,-635.9595336914062,0,0,0,0,0.07692307692307693,1.400000000000001,0.6229746568624817,1813,600,2519,-35.99999999999985,0.0,0.0,-3778.5,1.400000000000001,1.400000000000001,0.1162826792399089,0.35,0.5144545481912792,0.0,-3.625999999999976,-3.1115454518086967,0.0
10,6000,0.886019,-783.8522338867188,0,0,0,0,0.0597165991902834,1.0600000000000005,0.6915227894623726,1771,600,3110,-35.99999999999985,0.0,0.0,-4665.0,1.0600000000000005,1.0600000000000005,-0.09550051879882818,0.1,0.38126099727116536,0.0,-3.5419999999999723,-3.160739002728807,0.0
11,6600,0.874619,-555.5670776367188,4,4,0,0,0.15688259109311742,2.980000000000002,0.5856052679745173,1693,600,2279,-35.99999999999985,120.0,0.0,-3418.5,2.980000000000002,2.980000000000002,0.4566727828979489,0.39999999999999997,0.6527216697111728,0.0,-3.385999999999973,-2.7332783302888,0.0
12,7200,0.863219,-501.43017578125,0,0,0,0,0.14068825910931174,2.660000000000002,0.5371065472326477,1739,600,1982,-35.99999999999985,0.0,0.0,-2973.0,2.660000000000002,2.660000000000002,-0.021709960937499967,0.35,0.9153874970460308,0.0,-3.4779999999999758,-2.562612502953945,0.0
13,7800,0.851819,-479.3691711425781,0,0,0,0,0.1508097165991903,2.860000000000002,0.5504372786728264,1767,600,1894,-35.99999999999985,0.0,0.0,-2841.0,2.860000000000002,2.860000000000002,-0.10624837239583325,0.5499999999999999,1.0219224536977705,0.0,-3.5339999999999745,-2.512077546302204,0.0
14,8400,0.840419,-287.3726806640625,1,1,0,0,0.19230769230769232,3.680000000000003,0.4454195522780113,1750,600,1147,-35.99999999999985,30.0,0.0,-1720.5,3.680000000000003,3.680000000000003,0.13734436543782552,0.35,1.59974645676557,0.0,-3.499999999999971,-1.9002535432344012,0.0
15,9000,0.829019,-197.4840850830078,0,0,0,0,0.20242914979757085,3.880000000000003,0.4128091608797614,1746,600,768,-35.99999999999985,0.0,0.0,-1152.0,3.880000000000003,3.880000000000003,0.0014511057535804396,0.7000000000000001,2.0083145916368808,0.0,-3.491999999999973,-1.4836854083630922,0.0
16,9600,0.817619,-371.4955749511719,1,1,0,0,0.15789473684210525,3.0000000000000018,0.5055681438694591,1659,600,1483,-35.99999999999985,30.0,0.0,-2224.5,3.0000000000000018,3.0000000000000018,0.40599740219116165,0.44999999999999996,0.9929872181173414,0.0,-3.317999999999971,-2.32501278188263,0.0
17,10200,0.806219,-346.9070739746094,0,0,0,0,0.15384615384615385,2.920000000000002,0.4937444404638679,1780,600,1364,-35.99999999999985,0.0,0.0,-2046.0,2.920000000000002,2.920000000000002,0.008507486979166637,0.1,1.0923845452722163,0.0,-3.559999999999975,-2.467615454727759,0.0
18,10800,0.7948189999999999,-222.3167266845703,2,2,0,0,0.1882591093117409,3.6000000000000028,0.4493462267370099,1717,600,907,-35.99999999999985,60.0,0.0,-1360.5,3.6000000000000028,3.6000000000000028,0.4596912269592285,0.39999999999999997,1.573723756950349,0.0,-3.433999999999976,-1.8602762430496271,0.0
19,11400,0.7834190000000001,-612.6722412109375,1,1,0,0,0.0840080971659919,1.540000000000001,0.6015793916884609,1810,600,2446,-35.99999999999985,30.0,0.0,-3669.0,1.540000000000001,1.540000000000001,0.10365726343790684,0.2,0.7534851471707222,0.0,-3.619999999999975,-2.8665148528292526,0.0
20,12000,0.772019,-172.08909606933594,5,5,0,0,0.1771255060728745,3.3800000000000026,0.44057742266484845,1816,600,766,-35.99999999999985,150.0,0.0,-1149.0,3.3800000000000026,3.3800000000000026,0.38700753148396827,0.7000000000000001,1.629832625817508,0.0,-3.6319999999999713,-2.0021673741824633,0.0
21,12600,0.760619,-305.7087097167969,1,1,0,0,0.15991902834008098,3.0600000000000023,0.4648184940116738,1754,600,1220,-35.99999999999985,30.0,0.0,-1830.0,3.0600000000000023,3.0600000000000023,-0.22012654876708965,0.9500000000000003,1.466158835403621,0.0,-3.507999999999974,-2.041841164596353,0.0
22,13200,0.7492190000000001,-303.0090637207031,0,0,0,0,0.1720647773279352,3.2800000000000025,0.48460558717911134,1676,600,1189,-35.99999999999985,0.0,0.0,-1783.5,3.2800000000000025,3.2800000000000025,0.034585418701171884,0.3,1.1856524430681017,0.0,-3.351999999999974,-2.166347556931872,0.0
23,13800,0.737819,-36.962554931640625,0,0,0,0,0.21862348178137653,4.199999999999998,0.3951421233578084,1725,600,126,-35.99999999999985,0.0,0.0,-189.0,4.199999999999998,4.199999999999998,-0.056873687744140644,0.39999999999999997,2.131634566141292,0.0,-3.4499999999999735,-1.3183654338586814,0.0
24,14400,0.7264189999999999,-195.61607360839844,0,0,0,0,0.19736842105263158,3.780000000000003,0.4239055743475021,1673,600,760,-35.99999999999985,0.0,0.0,-1140.0,3.780000000000003,3.780000000000003,0.006367146809895843,0.25,1.6149502108432356,0.0,-3.3459999999999748,-1.7310497891567391,0.0
25,15000,0.7150190000000001,-181.6907501220703,2,2,0,0,0.1811740890688259,3.4600000000000026,0.43795327117575245,1730,600,744,-35.99999999999985,60.0,0.0,-1116.0,3.4600000000000026,3.4600000000000026,0.12122201029459637,0.49999999999999994,1.2331660272181038,0.0,-3.4599999999999733,-2.2268339727818693,0.0
26,15600,0.703619,-383.2879333496094,0,0,0,0,0.16396761133603238,3.1200000000000023,0.4718878421915239,1689,600,1510,-35.99999999999985,0.0,0.0,-2265.0,3.1200000000000023,3.1200000000000023,-0.11796557362874346,0.15000000000000002,1.5046883683372294,0.0,-3.3779999999999744,-1.873311631662745,0.0
27,16200,0.692219,-278.8094177246094,1,1,0,0,0.20850202429149797,4.000000000000003,0.44145586374988643,1623,600,1113,-35.99999999999985,30.0,0.0,-1669.5,4.000000000000003,4.000000000000003,0.22545377095540378,0.39999999999999997,1.2668051255866883,0.0,-3.2459999999999756,-1.9791948744132872,0.0
28,16800,0.6808190000000001,-274.7023010253906,0,0,0,0,0.18522267206477733,3.5400000000000027,0.4355528980617964,1631,600,1076,-35.99999999999985,0.0,0.0,-1614.0,3.5400000000000027,3.5400000000000027,-0.06067425537109373,0.35,1.2225111144594856,0.0,-3.261999999999981,-2.0394888855404956,0.0
29,17400,0.669419,-228.2857666015625,0,0,0,0,0.2145748987854251,4.1400000000000015,0.38580597901234187,1591,600,891,-35.99999999999985,0.0,0.0,-1336.5,4.1400000000000015,4.1400000000000015,-0.023872451782226547,0.15000000000000002,1.7034181750752029,0.0,-3.181999999999976,-1.478581824924773,0.0
