episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9981031666666667,-485.7267150878906,1,1,0,0,0.14271255060728744,2.700000000000002,0.5657548583429485,1782,600,1939,-35.99999999999985,30.0,0.0,-2908.5,2.700000000000002,2.700000000000002,0.03923695882161454,0.2,0.7699424817971883,0.0,-3.5639999999999725,-2.7940575182027843,0.0
2,1200,0.9962031666666666,-646.9248657226562,0,0,0,0,0.09615384615384616,1.7800000000000011,0.6311224930592935,1839,600,2563,-35.99999999999985,0.0,0.0,-3844.5,1.7800000000000011,1.7800000000000011,0.0059920756022135025,0.25,0.6019488826766609,0.0,-3.677999999999971,-3.0760511173233103,0.0
3,1800,0.9943031666666666,-433.5693664550781,0,0,0,0,0.1902834008097166,3.6400000000000023,0.503749799629198,1765,600,1712,-35.99999999999985,0.0,0.0,-2568.0,3.6400000000000023,3.6400000000000023,0.11488581339518249,0.6,1.761281556598842,0.0,-3.5299999999999754,-1.7687184434011334,0.0
4,2400,0.9924031666666666,-775.60205078125,0,0,0,0,0.06882591093117409,1.2400000000000007,0.7062133232413584,1822,600,3077,-35.99999999999985,0.0,0.0,-4615.5,1.2400000000000007,1.2400000000000007,-0.022522460937500002,0.0,0.33079812023788685,0.0,-3.643999999999972,-3.3132018797620852,0.0
5,3000,0.9905031666666667,-667.5146484375,0,0,0,0,0.07793522267206478,1.4200000000000008,0.6520160136196904,1784,600,2645,-35.99999999999985,0.0,0.0,-3967.5,1.4200000000000008,1.4200000000000008,-0.09205519612630209,0.1,0.5618377936072647,0.0,-3.5679999999999703,-3.0061622063927054,0.0
6,3600,0.9886031666666667,-474.8135681152344,0,0,0,0,0.17813765182186234,3.4000000000000026,0.5346505423388994,1786,600,1876,-35.99999999999985,0.0,0.0,-2814.0,3.4000000000000026,3.4000000000000026,-0.03888023885091151,0.25,1.0858807817101477,0.0,-3.5719999999999725,-2.486119218289825,0.0
7,4200,0.9867031666666667,-540.4722290039062,0,0,0,0,0.13765182186234817,2.6000000000000014,0.5895777223382175,1809,600,2138,-35.99999999999985,0.0,0.0,-3207.0,2.6000000000000014,2.6000000000000014,-0.019467030843098986,0.2,1.0099478103825823,0.0,-3.617999999999976,-2.6080521896173936,0.0
8,4800,0.9848031666666667,-390.6407470703125,1,1,0,0,0.1659919028340081,3.1600000000000024,0.4933941709878127,1807,600,1559,-35.99999999999985,30.0,0.0,-2338.5,3.1600000000000024,3.1600000000000024,-0.0009657351175943424,0.39999999999999997,0.7140795219736176,0.0,-3.613999999999975,-2.8999204780263574,0.0
9,5400,0.9829031666666667,-547.0038452148438,1,1,0,0,0.15587044534412955,2.960000000000002,0.5919437862057465,1821,600,2184,-35.99999999999985,30.0,0.0,-3276.0,2.960000000000002,2.960000000000002,-0.07427560170491534,0.2,0.5396378614380956,0.0,-3.641999999999973,-3.1023621385618774,0.0
10,6000,0.9810031666666666,-774.2747192382812,0,0,0,0,0.0708502024291498,1.2800000000000007,0.6890296860510716,1733,600,3073,-35.99999999999985,0.0,0.0,-4609.5,1.2800000000000007,1.2800000000000007,-0.05785284423828124,0.0,2.1116703502088785,0.0,-3.465999999999976,-1.3543296497910977,0.0
11,6600,0.9791031666666666,-628.2077026367188,0,0,0,0,0.09412955465587045,1.740000000000001,0.6294343008565678,1804,600,2488,-35.99999999999985,0.0,0.0,-3732.0,1.740000000000001,1.740000000000001,-0.08582730102539057,0.2,0.5193334583379329,0.0,-3.607999999999976,-3.088666541662043,0.0
12,7200,0.9772031666666666,-651.6305541992188,0,0,0,0,0.09210526315789473,1.700000000000001,0.6222890488348558,1773,600,2582,-35.99999999999985,0.0,0.0,-3873.0,1.700000000000001,1.700000000000001,0.10205882008870444,0.35,0.6211623865552247,0.0,-3.5459999999999727,-2.924837613444748,0.0
13,7800,0.9753031666666667,-549.80908203125,0,0,0,0,0.12651821862348178,2.3800000000000017,0.5837313550489327,1829,600,2175,-35.99999999999985,0.0,0.0,-3262.5,2.3800000000000017,2.3800000000000017,-0.06756182861328125,0.25,0.7458686857670545,0.0,-3.6579999999999684,-2.912131314232914,0.0
14,8400,0.9734031666666667,-637.2410278320312,0,0,0,0,0.09109311740890688,1.680000000000001,0.6272762647128224,1816,600,2524,-35.99999999999985,0.0,0.0,-3786.0,1.680000000000001,1.680000000000001,0.05542761230468745,0.0,0.46246935480739926,0.0,-3.631999999999974,-3.169530645192575,0.0
15,9000,0.9715031666666667,-664.2539672851562,0,0,0,0,0.0860323886639676,1.580000000000001,0.6418138790762815,1792,600,2632,-35.99999999999985,0.0,0.0,-3948.0,1.580000000000001,1.580000000000001,-0.07446342976888025,0.1,0.46496445494703953,0.0,-3.583999999999971,-3.119035545052932,0.0
16,9600,0.9696031666666667,-612.8502197265625,2,2,0,0,0.1062753036437247,1.980000000000001,0.6262492228937239,1785,600,2467,-35.99999999999985,60.0,0.0,-3700.5,1.980000000000001,1.980000000000001,0.1113998082478841,0.15000000000000002,0.7375475406087935,0.0,-3.569999999999976,-2.8324524593911824,0.0
17,10200,0.9677031666666667,-519.6614379882812,0,0,0,0,0.145748987854251,2.760000000000002,0.559765427345507,1821,600,2055,-35.99999999999985,0.0,0.0,-3082.5,2.760000000000002,2.760000000000002,0.1105459009806315,0.3,1.0099227742105719,0.0,-3.641999999999973,-2.632077225789401,0.0
18,10800,0.9658031666666667,-742.0685424804688,0,0,0,0,0.06477732793522267,1.1600000000000006,0.6871912134768193,1788,600,2943,-35.99999999999985,0.0,0.0,-4414.5,1.1600000000000006,1.1600000000000006,0.0010556945800780718,0.15000000000000002,0.3697159172594547,0.0,-3.575999999999974,-3.206284082740519,0.0
19,11400,0.9639031666666666,-710.22802734375,0,0,0,0,0.08704453441295547,1.600000000000001,0.6509338870077045,1696,600,2816,-35.99999999999985,0.0,0.0,-4224.0,1.600000000000001,1.600000000000001,-0.03444480387369792,0.1,0.3712482747389004,0.0,-3.3919999999999733,-3.0207517252610727,0.0
20,12000,0.9620031666666666,-677.4465942382812,1,1,0,0,0.08906882591093117,1.640000000000001,0.6449709243123167,1768,600,2705,-35.99999999999985,30.0,0.0,-4057.5,1.640000000000001,1.640000000000001,0.09337792205810548,0.2,0.43263137460686274,0.0,-3.535999999999975,-3.1033686253931125,0.0
21,12600,0.9601031666666666,-475.6184997558594,0,0,0,0,0.15587044534412955,2.960000000000002,0.5438052613240628,1755,600,1879,-35.99999999999985,0.0,0.0,-2818.5,2.960000000000002,2.960000000000002,-0.11002822621663406,0.39999999999999997,1.0526523712277411,0.0,-3.509999999999973,-2.457347628772232,0.0
22,13200,0.9582031666666667,-316.7220153808594,0,0,0,0,0.18319838056680163,3.5000000000000027,0.45601149317363804,1835,600,1244,-35.99999999999985,0.0,0.0,-1866.0,3.5000000000000027,3.5000000000000027,-0.02959577433268228,0.44999999999999996,1.4208721008896827,0.0,-3.6699999999999706,-2.249127899110288,0.0
