episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.92886875,-109.10807037353516,1,1,0,0,0.18016194331983806,3.440000000000002,0.0,0,600,1721,-287.9999999999988,8.0,0.0,-344.20000000000095,3.440000000000002,3.440000000000002,0.9223504193623863,0.8500000000000002,0.0,0.0,-35.65999999999976,-35.65999999999976,0.0
2,1200,0.85761875,-93.75948333740234,2,2,0,0,0.18218623481781376,3.4800000000000026,0.0,0,600,1313,-287.9999999999988,16.0,0.0,-262.59999999999883,3.4800000000000026,3.4800000000000026,1.3335348116556798,0.35,0.0,0.0,-33.11999999999973,-33.11999999999973,0.0
3,1800,0.7863687500000001,-104.1403579711914,0,0,0,0,0.16396761133603238,3.1200000000000023,0.0,0,600,1551,-287.9999999999988,0.0,0.0,-310.19999999999925,3.1200000000000023,3.1200000000000023,1.2782392272949203,0.6,0.0,0.0,-31.639999999999677,-31.639999999999677,0.0
4,2400,0.71511875,-135.47740173339844,0,0,0,0,0.12955465587044535,2.4400000000000017,0.0,0,600,2485,-287.9999999999988,0.0,0.0,-496.99999999999915,2.4400000000000017,2.4400000000000017,0.7159806391398116,0.49999999999999994,0.0,0.0,-31.519999999999705,-31.519999999999705,0.0
5,3000,0.64386875,-149.3782501220703,0,0,0,0,0.07995951417004049,1.4600000000000009,0.0,0,600,2903,-287.9999999999988,0.0,0.0,-580.5999999999989,1.4600000000000009,1.4600000000000009,0.3107981262207032,0.2,0.0,0.0,-29.639999999999727,-29.639999999999727,0.0
6,3600,0.57261875,-154.63536071777344,0,0,0,0,0.06275303643724696,1.1200000000000006,0.0,0,600,3058,-287.9999999999988,0.0,0.0,-611.6000000000003,1.1200000000000006,1.1200000000000006,0.3883109893798829,0.2,0.0,0.0,-29.919999999999725,-29.919999999999725,0.0
7,4200,0.50136875,-103.20135498046875,1,1,0,0,0.15688259109311742,2.980000000000002,0.0,0,600,1564,-287.9999999999988,8.0,0.0,-312.80000000000206,2.980000000000002,2.980000000000002,1.3921296017964695,0.7000000000000001,0.0,0.0,-31.479999999999695,-31.479999999999695,0.0
8,4800,0.43011875,-142.65187072753906,0,0,0,0,0.1417004048582996,2.6800000000000015,0.0,0,600,2712,-287.9999999999988,0.0,0.0,-542.3999999999977,2.6800000000000015,2.6800000000000015,1.0489464416503909,0.3,0.0,0.0,-29.53999999999972,-29.53999999999972,0.0
9,5400,0.35886875000000007,-114.3976821899414,2,2,0,0,0.17408906882591094,3.3200000000000025,0.0,0,600,1938,-287.9999999999988,16.0,0.0,-387.59999999999894,3.3200000000000025,3.3200000000000025,1.814113929748535,0.7000000000000001,0.0,0.0,-32.619999999999756,-32.619999999999756,0.0
10,6000,0.28761875000000003,-129.541748046875,1,1,0,0,0.12449392712550607,2.3400000000000016,0.0,0,600,2351,-287.9999999999988,8.0,0.0,-470.19999999999726,2.3400000000000016,2.3400000000000016,0.8498827946980794,0.3,0.0,0.0,-30.53999999999972,-30.53999999999972,0.0
