episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
1,600,0.9981031666666667,-644.1595458984375,1,1,0,0,0.10425101214574899,1.9400000000000013,0.0,0,600,2574,-35.99999999999985,30.0,0.0,-3861.0,1.9400000000000013,1.9400000000000013,0.013794339497884105,0.1,0.0,0.0,0.0,0.0,0.0
2,1200,0.9962031666666666,-581.749755859375,0,0,0,0,0.1417004048582996,2.680000000000002,0.0,0,600,2305,-35.99999999999985,0.0,0.0,-3457.5,2.680000000000002,2.680000000000002,0.029655008951822923,0.3,0.0,0.0,0.0,0.0,0.0
3,1800,0.9943031666666666,-535.4815063476562,0,0,0,0,0.145748987854251,2.7600000000000016,0.0,0,600,2120,-35.99999999999985,0.0,0.0,-3180.0,2.7600000000000016,2.7600000000000016,0.009039683024088516,0.35,0.0,0.0,0.0,0.0,0.0
4,2400,0.9924031666666666,-649.65966796875,0,0,0,0,0.11133603238866396,2.0800000000000014,0.0,0,600,2576,-35.99999999999985,0.0,0.0,-3864.0,2.0800000000000014,2.0800000000000014,-0.07723830159505209,0.05,0.0,0.0,0.0,0.0,0.0
5,3000,0.9905031666666667,-628.0772094726562,1,1,0,0,0.12348178137651822,2.3200000000000016,0.0,0,600,2510,-35.99999999999985,30.0,0.0,-3765.0,2.3200000000000016,2.3200000000000016,0.12837167994181325,0.1,0.0,0.0,0.0,0.0,0.0
6,3600,0.9886031666666667,-556.6213989257812,0,0,0,0,0.11842105263157894,2.2200000000000015,0.0,0,600,2204,-35.99999999999985,0.0,0.0,-3306.0,2.2200000000000015,2.2200000000000015,-0.04003266398111979,0.1,0.0,0.0,0.0,0.0,0.0
7,4200,0.9867031666666667,-511.5022277832031,1,1,0,0,0.12449392712550607,2.3400000000000016,0.0,0,600,2044,-35.99999999999985,30.0,0.0,-3066.0,2.3400000000000016,2.3400000000000016,0.20357866923014334,0.44999999999999996,0.0,0.0,0.0,0.0,0.0
8,4800,0.9848031666666667,-541.334716796875,2,2,0,0,0.12449392712550607,2.340000000000001,0.0,0,600,2183,-35.99999999999985,60.0,0.0,-3274.5,2.340000000000001,2.340000000000001,-0.03929286321004234,0.2,0.0,0.0,0.0,0.0,0.0
9,5400,0.9829031666666667,-689.9794921875,1,1,0,0,0.0931174089068826,1.7200000000000013,0.0,0,600,2757,-35.99999999999985,30.0,0.0,-4135.5,1.7200000000000013,1.7200000000000013,-0.1330221099853516,0.05,0.0,0.0,0.0,0.0,0.0
10,6000,0.9810031666666666,-639.73681640625,0,0,0,0,0.08906882591093117,1.640000000000001,0.0,0,600,2536,-35.99999999999985,0.0,0.0,-3804.0,1.640000000000001,1.640000000000001,-0.04876123046874999,0.0,0.0,0.0,0.0,0.0,0.0
11,6600,0.9791031666666666,-428.47802734375,1,1,0,0,0.1417004048582996,2.680000000000002,0.0,0,600,1712,-35.99999999999985,30.0,0.0,-2568.0,2.680000000000002,2.680000000000002,0.1081036173502604,0.35,0.0,0.0,0.0,0.0,0.0
12,7200,0.9772031666666666,-332.4161682128906,1,1,0,0,0.1680161943319838,3.2000000000000024,0.0,0,600,1328,-35.99999999999985,30.0,0.0,-1992.0,3.2000000000000024,3.2000000000000024,0.056560259501139284,0.25,0.0,0.0,0.0,0.0,0.0
13,7800,0.9753031666666667,-628.1024780273438,1,1,0,0,0.11538461538461539,2.1600000000000015,0.0,0,600,2510,-35.99999999999985,30.0,0.0,-3765.0,2.1600000000000015,2.1600000000000015,0.08574700800577806,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
14,8400,0.9734031666666667,-596.8593139648438,0,0,0,0,0.11234817813765183,2.100000000000001,0.0,0,600,2365,-35.99999999999985,0.0,0.0,-3547.5,2.100000000000001,2.100000000000001,0.05422217559814455,0.2,0.0,0.0,0.0,0.0,0.0
15,9000,0.9715031666666667,-507.742919921875,1,1,0,0,0.12246963562753037,2.3000000000000016,0.0,0,600,2029,-35.99999999999985,30.0,0.0,-3043.5,2.3000000000000016,2.3000000000000016,0.4506637433369954,0.3,0.0,0.0,0.0,0.0,0.0
16,9600,0.9696031666666667,-478.3107604980469,0,0,0,0,0.13360323886639677,2.520000000000002,0.0,0,600,1891,-35.99999999999985,0.0,0.0,-2836.5,2.520000000000002,2.520000000000002,-0.17670653533935565,0.3,0.0,0.0,0.0,0.0,0.0
17,10200,0.9677031666666667,-368.0554504394531,0,0,0,0,0.20040485829959515,3.840000000000003,0.0,0,600,1451,-35.99999999999985,0.0,0.0,-2176.5,3.840000000000003,3.840000000000003,0.029640920003255116,0.3,0.0,0.0,0.0,0.0,0.0
18,10800,0.9658031666666667,-557.0450439453125,0,0,0,0,0.13663967611336034,2.580000000000002,0.0,0,600,2206,-35.99999999999985,0.0,0.0,-3309.0,2.580000000000002,2.580000000000002,-0.041793304443359346,0.2,0.0,0.0,0.0,0.0,0.0
19,11400,0.9639031666666666,-670.9039916992188,1,1,0,0,0.0951417004048583,1.7600000000000011,0.0,0,600,2681,-35.99999999999985,30.0,0.0,-4021.5,1.7600000000000011,1.7600000000000011,0.17964521916707354,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
20,12000,0.9620031666666666,-589.3638305664062,1,1,0,0,0.11842105263157894,2.2200000000000015,0.0,0,600,2355,-35.99999999999985,30.0,0.0,-3532.5,2.2200000000000015,2.2200000000000015,0.007359606424967437,0.1,0.0,0.0,0.0,0.0,0.0
21,12600,0.9601031666666666,-539.9972534179688,3,3,0,0,0.14271255060728744,2.7000000000000015,0.0,0,600,2198,-35.99999999999985,90.0,0.0,-3297.0,2.7000000000000015,2.7000000000000015,0.07526319376627592,0.25,0.0,0.0,0.0,0.0,0.0
22,13200,0.9582031666666667,-359.2677917480469,0,0,0,0,0.18522267206477733,3.5400000000000027,0.0,0,600,1416,-35.99999999999985,0.0,0.0,-2124.0,3.5400000000000027,3.5400000000000027,0.056469858805338474,0.8000000000000002,0.0,0.0,0.0,0.0,0.0
23,13800,0.9563031666666667,-550.6730346679688,0,0,0,0,0.11032388663967611,2.0800000000000014,0.0,0,600,2180,-35.99999999999985,0.0,0.0,-3270.0,2.0800000000000014,2.0800000000000014,-0.15928385416666652,0.05,0.0,0.0,0.0,0.0,0.0
24,14400,0.9544031666666667,-597.3088989257812,0,0,0,0,0.1305668016194332,2.4600000000000013,0.0,0,600,2367,-35.99999999999985,0.0,0.0,-3550.5,2.4600000000000013,2.4600000000000013,0.04627367655436207,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
25,15000,0.9525031666666667,-647.1619873046875,0,0,0,0,0.07186234817813765,1.3000000000000007,0.0,0,600,2566,-35.99999999999985,0.0,0.0,-3849.0,1.3000000000000007,1.3000000000000007,-0.057828715006510406,0.8000000000000002,0.0,0.0,0.0,0.0,0.0
26,15600,0.9506031666666667,-607.6572265625,0,0,0,0,0.10526315789473684,1.9600000000000013,0.0,0,600,2408,-35.99999999999985,0.0,0.0,-3612.0,1.9600000000000013,1.9600000000000013,-0.04247900899251297,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
27,16200,0.9487031666666667,-604.8737182617188,2,2,0,0,0.11133603238866396,2.0800000000000014,0.0,0,600,2437,-35.99999999999985,60.0,0.0,-3655.5,2.0800000000000014,2.0800000000000014,0.08839265060424793,0.1,0.0,0.0,0.0,0.0,0.0
